feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
up_len_p50,0.5060159579368553,True,False,0.07546129064898931,0.04289006359553133,0.5593417285399483,0.9866181893350651,1.0,0.8486533059583378,True
rssi_min,0.6154617150687067,True,False,0.07648479570384438,0.03594466808929338,0.6803212708158313,1.0,0.8380651618581049,0.8394621442246454,True
rssi_std,0.47967035720398243,True,False,0.06188661725728016,0.03153908899181709,0.5302197342189959,0.809136203970661,0.7353472190958259,0.6915677190951609,True
rssi_p10,0.5109982665204371,True,False,0.048790937697013294,0.02654098136683861,0.5648490906133157,0.6379168205656971,0.6188142227330221,0.6071933779706783,True
len_range,0.90466334285073,True,False,0.02417205842790636,0.00918583039272597,1.0,0.3160374320865368,0.21417152651839463,0.5100696528683105,True
len_min,0.31160906896840057,True,False,0.03489219746304254,0.01946121394506661,0.34444754662709515,0.45619782522722674,0.4537464464635173,0.4181306061059464,True
up_packet_ratio,0.5029165183302373,True,False,0.027648508763846117,0.014296541839883721,0.5559156589074029,0.36149026103048626,0.3333299286917649,0.4169119495432181,True
up_ia_mean,0.48934692434141125,True,False,0.02630395679114917,0.01309975238578028,0.5409160525941127,0.3439109243750918,0.30542627563613894,0.3967510842017812,True
len_p95,0.6313344321100709,True,False,0.020233963547751265,0.0071568789038739256,0.6978667115223673,0.2645488343343282,0.16686566313740772,0.37642706966470113,True
null_data_ratio,0.4436279179395122,True,False,0.02789102137798621,0.010315553146529682,0.4903790138567724,0.36466099074099134,0.2405114910485805,0.3651838318821148,True
len_p10,0.5263258193346432,True,False,0.02452821396676808,0.00812812513728777,0.581791915737529,0.32069398553071127,0.18951068046759972,0.3639988605786133,True
burst_count,0.34085023346200316,True,False,0.030055029128200093,0.012521763479141244,0.3767702495692297,0.3929542970157849,0.29195021945469607,0.3538915886799036,True
rssi_max,0.3295630998446586,True,False,0.026371596974459028,0.011331143068309568,0.3642936374609319,0.3447952855437058,0.26419040025601986,0.32442644108688584,True
down_packet_ratio,0.37501218871764985,True,False,0.02361413805746628,0.01034296293920212,0.41453231379524025,0.30874290556913075,0.24115056197491255,0.3214752604464279,True
down_ia_std,0.441596249731925,True,False,0.019658269327301883,0.008336671337435143,0.488133241190462,0.25702192372220445,0.1943730234595346,0.3131760627907337,True
len_up_down_diff,0.5111447152817483,True,False,0.016158865529177082,0.005566955205530509,0.5650109726686333,0.21126898987539408,0.12979591865446719,0.30202529373283155,True
rssi_p90,0.26902368981307,True,False,0.02356469033062055,0.011213279450005019,0.29737436797796624,0.30809640156280255,0.26144236007086075,0.2889710432038765,True
len_p25,0.44000940881757256,True,False,0.017547093953903335,0.005880440118412879,0.4863791733077598,0.22941937403934726,0.13710495218350657,0.2843011665102046,True
len_p75,0.5294105174124635,True,False,0.01076642456924905,0.0037209352577376783,0.5852016903262726,0.14076555307720975,0.08675518163897893,0.27090747501415374,True
down_len_std,0.3424726916433274,True,False,0.019304081001438045,0.0066001716467642794,0.37856368819382524,0.25239109059250264,0.15388579762917265,0.26161352547183353,True
len_p50,0.4643384273130393,True,False,0.012114864459598538,0.004449048151043966,0.5132720707460515,0.15839572228849666,0.10373144215872665,0.2584664117310916,True
rssi_p50,0.32179955266962956,True,False,0.01821581872035152,0.007735912227944585,0.3557119399307049,0.23816261196388255,0.1803660703536607,0.2580802074160827,True
up_down_ratio,0.5015694650929889,True,False,0.006662480084223073,0.004146978506307429,0.5544266483844347,0.08710855566668127,0.09668856044175925,0.24607458816429173,True
down_ia_mean,0.38648256575305107,True,False,0.012136825959129138,0.004221827881910545,0.42721148016806615,0.1586828577816166,0.09843370533846474,0.22810934776271583,True
len_cv,0.23328323181582444,True,False,0.01822819577159777,0.006631964672029733,0.25786745274845996,0.23832443564573136,0.15462706548005,0.21693965129141377,True
len_iqr,0.3633699330553366,True,False,0.010238486862920683,0.0033384286743744413,0.40166315561134974,0.13386303472084796,0.07783687862664462,0.2044543563196141,True
rssi_mean,0.14956254803973135,True,False,0.01875212011255418,0.008522785747575751,0.16532398402309229,0.24517448128074995,0.198712359765858,0.2030702750232334,True
interarrival_p75,0.33652758116974724,True,False,0.011450057378600784,0.003528433517742421,0.3719920607253725,0.1497037061187478,0.08226692203156455,0.20132089629189495,True
other_packet_ratio,0.20449032616483853,True,False,0.015978315384307096,0.0069678651245477325,0.22604024776825687,0.2089083880955437,0.1624587268104146,0.19913578755807174,True
down_len_p50,0.3182169110880566,True,False,0.010473337193124639,0.0031486826691049497,0.35175174677168564,0.13693358394625632,0.07341287014162896,0.18736606695319033,True
