feature,mean_rank,std_rank,selected_rate,mean_joint_score,mean_mutual_info,mean_model_importance
up_len_p50,1.0,0.0,1.0,0.8486533059583378,0.5060159579368553,0.07546129064898931
rssi_min,2.0,0.0,1.0,0.8394621442246454,0.6154617150687067,0.07648479570384438
rssi_std,3.0,0.0,1.0,0.6915677190951609,0.47967035720398243,0.06188661725728015
rssi_p10,4.0,0.0,1.0,0.6071933779706783,0.5109982665204371,0.048790937697013294
len_range,5.0,0.0,1.0,0.5100696528683105,0.9046633428507299,0.02417205842790636
len_min,6.0,0.0,1.0,0.4181306061059464,0.31160906896840057,0.03489219746304254
up_packet_ratio,7.0,0.0,1.0,0.4169119495432181,0.5029165183302373,0.027648508763846117
up_ia_mean,8.0,0.0,1.0,0.3967510842017812,0.48934692434141125,0.026303956791149174
len_p95,9.0,0.0,1.0,0.37642706966470113,0.6313344321100709,0.020233963547751265
null_data_ratio,10.0,0.0,1.0,0.3651838318821148,0.4436279179395122,0.02789102137798621
len_p10,11.0,0.0,1.0,0.3639988605786133,0.5263258193346432,0.02452821396676808
burst_count,12.0,0.0,1.0,0.3538915886799036,0.34085023346200316,0.03005502912820009
rssi_max,13.0,0.0,1.0,0.32442644108688584,0.3295630998446586,0.026371596974459028
down_packet_ratio,14.0,0.0,1.0,0.3214752604464279,0.37501218871764985,0.023614138057466278
down_ia_std,15.0,0.0,1.0,0.3131760627907337,0.441596249731925,0.019658269327301883
len_up_down_diff,16.0,0.0,1.0,0.30202529373283155,0.5111447152817483,0.016158865529177082
rssi_p90,17.0,0.0,1.0,0.2889710432038765,0.26902368981307,0.023564690330620548
len_p25,18.0,0.0,1.0,0.2843011665102046,0.44000940881757256,0.017547093953903335
len_p75,19.0,0.0,1.0,0.27090747501415374,0.5294105174124635,0.010766424569249053
down_len_std,20.0,0.0,1.0,0.26161352547183353,0.3424726916433274,0.019304081001438045
len_p50,21.0,0.0,1.0,0.2584664117310916,0.4643384273130393,0.012114864459598538
rssi_p50,22.0,0.0,1.0,0.2580802074160827,0.32179955266962956,0.01821581872035152
up_down_ratio,23.0,0.0,1.0,0.24607458816429173,0.5015694650929889,0.006662480084223074
down_ia_mean,24.0,0.0,1.0,0.22810934776271583,0.38648256575305107,0.012136825959129136
len_cv,25.0,0.0,1.0,0.21693965129141377,0.23328323181582444,0.01822819577159777
len_iqr,26.0,0.0,1.0,0.2044543563196141,0.3633699330553366,0.010238486862920683
rssi_mean,27.0,0.0,1.0,0.2030702750232334,0.14956254803973135,0.01875212011255418
interarrival_p75,28.0,0.0,1.0,0.20132089629189495,0.33652758116974724,0.011450057378600784
other_packet_ratio,29.0,0.0,1.0,0.19913578755807174,0.20449032616483853,0.015978315384307096
down_len_p50,30.0,0.0,1.0,0.18736606695319033,0.3182169110880566,0.010473337193124639
unique_da_count,31.0,0.0,1.0,0.1760769620943138,0.22461162409235236,0.012631428159296866
burst_packet_ratio,32.0,0.0,1.0,0.16822677353584894,0.21678538014256565,0.011683303559672393
interarrival_p90,33.0,0.0,1.0,0.1623475574164347,0.23333180242194107,0.010871392563963229
subwin_byte_max,34.0,0.0,1.0,0.15554184028932502,0.2334927915778855,0.010660974288483322
subwin_packet_mean,35.0,0.0,1.0,0.15511932679976673,0.1699562191958317,0.013193385129958686
burst_size_std,36.0,0.0,1.0,0.13971209336238863,0.2062711795586889,0.00951263865162929
interarrival_p50,37.0,0.0,1.0,0.13870251664969854,0.20443371404834876,0.009815106790322634
burst_size_mean,38.0,0.0,1.0,0.13569124529319673,0.19569278993973338,0.009516560745746588
