task,n_sources,source_envs,target_env,dv_gain_absolute,recall_src_iid_Camera,recall_tgt_Camera,d_recall_Camera,recall_src_iid_Light_T1,recall_tgt_Light_T1,d_recall_Light_T1,recall_src_iid_Light_XM,recall_tgt_Light_XM,d_recall_Light_XM,recall_src_iid_Sensor,recall_tgt_Sensor,d_recall_Sensor,recall_src_iid_Socket,recall_tgt_Socket,d_recall_Socket,d_recall_l2,d_recall_max,cpd_y,cpd_dir_strict,cpd_dir_lenient,n_ref,n_ref_dir_defined,per_ref_cpd_y,per_ref_cpd_dir,dir_included_rows,_diag_d_recall_max_abs,variant
g0_R3_to_R2,1,R3,R2,-0.0136321023454759,0.990909090909091,0.8535911602209945,0.1373179306880965,1.0,0.17079889807162535,0.8292011019283747,0.9099099099099099,0.7397260273972602,0.1701838825126497,0.8807339449541285,0.02203856749311295,0.8586953774610155,0.9911504424778761,1.0,-0.008849557522123908,1.2136017886176769,0.8586953774610155,1.1592535044752041,,,1,0,1.1592535044752041,nan,,0.8586953774610155,primary
g0_R4_to_R2,1,R4,R2,-0.1152822063331974,0.9145299145299145,0.6988950276243094,0.21563488690560506,0.6545454545454545,0.9641873278236914,-0.3096418732782369,0.9636363636363636,0.3452054794520548,0.6184308841843088,0.8532110091743119,0.8071625344352618,0.04604847473905016,1.0,1.0,0.0,0.7259157765724807,0.6184308841843088,0.7329121568763437,,,1,0,0.7329121568763437,nan,,0.6184308841843088,primary
g0_R5_to_R2,1,R5,R2,-0.0283927800229104,0.9908256880733946,0.40331491712707185,0.5875107709463228,0.9272727272727272,0.013774104683195593,0.9134986225895316,0.8715596330275229,0.8657534246575342,0.005806208369988686,0.963302752293578,0.8870523415977961,0.07625041069578187,1.0,1.0,0.0,1.0888050682458386,0.9134986225895316,0.8337504312826175,,,1,0,0.8337504312826175,nan,,0.9134986225895316,primary
g0_R6_to_R2,1,R6,R2,-0.0746970455049272,0.975,0.9834254143646409,-0.008425414364640949,0.5932203389830508,0.29476584022038566,0.29845449876266517,0.3813559322033898,0.5698630136986301,-0.18850708149524031,0.45901639344262296,0.8016528925619835,-0.3426364991193605,1.0,1.0,0.0,0.4920170380601817,0.29845449876266517,0.6792354873479834,1.4393436294372945,1.4393436294372945,1,1,0.6792354873479834,1.4393436294372945,Light_T1;Light_XM;Sensor,0.3426364991193605,primary
g0_R7_to_R2,1,R7,R2,-0.3531337243205793,1.0,1.0,0.0,0.6890756302521008,0.3939393939393939,0.2951362363127069,0.7288135593220338,0.6465753424657534,0.08223821685628041,0.8083333333333333,0.581267217630854,0.22706611570247937,1.0,1.0,0.0,0.3813496337965232,0.2951362363127069,0.7466363522933309,1.8962325243239355,1.8962325243239355,1,1,0.7466363522933309,1.8962325243239355,Light_T1;Light_XM;Sensor,0.2951362363127069,primary
g0_R3_R4_to_R2,2,R3;R4,R2,-0.1727789160991925,0.9527195027195028,0.9033149171270718,0.049404585592430994,0.8272727272727273,0.6143250688705234,0.21294765840220387,0.9367731367731368,0.7972602739726027,0.1395128628005341,0.8669724770642202,0.7272727272727273,0.1396997497914929,0.995575221238938,1.0,-0.004424778761061954,0.2945962592128968,0.21294765840220387,0.30851048626677563,,0.16478091605763887,2,1,0.3735501197844855;0.24347085274906577,nan;0.16478091605763887,|Light_T1,0.21294765840220387,primary
g0_R3_R5_to_R2,2,R3;R5,R2,0.0873403251159132,0.9908673894912428,0.93646408839779,0.054403301093452705,0.9636363636363636,0.325068870523416,0.6385674931129477,0.8907347714687164,0.8547945205479452,0.03594025092077113,0.9220183486238532,0.06336088154269973,0.8586574670811535,0.995575221238938,1.0,-0.004424778761061954,1.0720690689073973,0.8586574670811535,1.0531870270403956,,,2,0,1.05070572957616;1.0556683245046314,nan;nan,|,0.8586574670811535,primary
g0_R3_R6_to_R2,2,R3;R6,R2,0.0474005982002683,0.9829545454545454,0.919889502762431,0.06306504269211444,0.7966101694915254,0.3415977961432507,0.4550123733482747,0.6456329210566498,0.7917808219178082,-0.14614790086115836,0.6698751691983758,0.4903581267217631,0.17951704247661265,0.995575221238938,1.0,-0.004424778761061954,0.514410940438231,0.4550123733482747,0.5850739481573708,,0.8719409496806062,2,1,0.6958124779307316;0.47433541838400994,nan;0.8719409496806062,|Light_T1;Light_XM;Sensor,0.4550123733482747,primary
g0_R3_R7_to_R2,2,R3;R7,R2,-0.0344288673518509,0.9954545454545455,0.8756906077348067,0.11976393771973881,0.8445378151260504,0.36363636363636365,0.48090145148968677,0.8193617346159718,0.8136986301369863,0.005663104478985548,0.8445336391437309,0.5234159779614325,0.32111766118229845,0.995575221238938,1.0,-0.004424778761061954,0.5905741346906743,0.48090145148968677,0.5760796742146985,,0.990895668548526,2,1,0.6606682815127414;0.4914910669166556,nan;0.990895668548526,|Light_T1;Light_XM;Sensor,0.48090145148968677,primary
g0_R4_R5_to_R2,2,R4;R5,R2,-0.1104356087703867,0.9526778013016546,0.9723756906077348,-0.019697889306080185,0.7909090909090909,0.5730027548209367,0.21790633608815424,0.9175979983319433,0.7534246575342466,0.16417334079769674,0.908256880733945,0.8539944903581267,0.05426239037581826,1.0,1.0,0.0,0.27886998940089014,0.21790633608815424,0.29662355867363016,,0.2559510454142139,2,1,0.21902737162833166;0.37421974571892863,0.2559510454142139;nan,Light_T1|,0.21790633608815424,primary
